sent_id,tokens,dep_labels
ins_833,"'ROOT', '1936', 'yılında', 'yız', '.'","42, 33, 39, 18, 38"
bio_1265,"'ROOT', 'Adeta', 'kendimden', 'geçmiş', 'bir', 'haldeyim', '.'","42, 3, 1, 14, 21, 39, 38"
ins_1281,"'ROOT', 'O', 'nasıl', 'derse', 'desin', 'uğraştığı', 'sanatın', 'kendisine', 'emanet', 'olduğunu', 'söyleyen', 'üstadları', 'vardı', '.'","42, 32, 3, 2, 16, 1, 32, 35, 34, 12, 1, 32, 39, 38"
pop_1958,"'ROOT', 'Ahmed', 'Rasim', ',', ""Büyükada'ya"", 'gidip', 'birkaç', 'gün', 'kalmayı', 'tasarlamıştı', '.'","42, 32, 25, 38, 35, 2, 21, 35, 12, 39, 38"
ins_1267,"'ROOT', 'Rüzgâr', 'yine', 'güçlü', 'esiyordu', '.'","42, 32, 3, 3, 39, 38"
news_1025,"'ROOT', 'Öte', 'yandan', 'Sarı', '-', 'Lacivertliler', ',', 'yarın', 'Samandıra', ""Tesisleri'nde"", 'Türk', 'Telekom', 'Lig', 'A', 'takımlarından', ""Kocaelispor'la"", 'saat', ""19.30'da"", 'bir', 'hazırlık', 'maçı', 'yapacak', '.'","42, 35, 14, 32, 38, 25, 38, 35, 31, 35, 31, 25, 35, 31, 30, 35, 35, 35, 21, 31, 34, 39, 38"
ess_1258,"'ROOT', 'Peki', 'kim', 'bu', 'küçük', 've', 'basit', 'sebepleri', 'devleştirerek', 'aramıza', 'sokup', 'duruyor', '?'","42, 3, 32, 21, 5, 10, 17, 34, 30, 5, 30, 39, 38"
bio_1510,"'ROOT', 'Meşrutiyetin', 'ilanından', 'önceki', 'siyasi', 'faaliyetlere', 'katıldı', '.'","42, 31, 5, 9, 5, 34, 39, 38"
bio_289,"'ROOT', '-', 'Öger', 'Prodüksiyon', '.'","42, 38, 39, 25, 38"
ess_1924,"'ROOT', ""'Yalnız"", ',', 'neden', 'yaşamak', 'ıstırap', 'verici', 'bir', 'şey', '?'","42, 3, 38, 35, 15, 34, 1, 32, 14, 39"
bio_1219,"'ROOT', '1978', 'yılında', ',', 'Unesco', 'Yürütme', ""Kurulu'na"", ',', ""Türkiye'yi"", 'temsil', 'edecek', 'üye', 'olarak', 'seçilmiştim', '.'","42, 31, 35, 38, 31, 31, 34, 38, 34, 1, 15, 2, 9, 39, 38"
ess_563,"'ROOT', 'Yatağan', ',', 'Milas', 've', 'Akılcılık', '...'","42, 39, 38, 17, 10, 17, 38"
